Sl. No,Dataset,Status,Comments,,Status,Comments,Debug,Final,
,,18 October 2020,,,10/21/2020 - 10/25/2020,,,,
1,water in space,Visible,-,,-,-,✓,✓,
4,Water access,Visible,-,,FixME,Fix mask end-line,,,
5,Industrial agriculture,Visible,-,,FixME,"Mask is legend , fix this",✓,✓,
6,Baseline water,Visible,-,,FixME,Mask scale problem,✓,✓,
7,Co2 emissions,Visible,-,,FixME,Mask scale problem,✓,✓,
8,global sea,Visible,-,,-,-,,,
9,Bay of bengal,Visible,-,,-,-,,,
11,Rain pH,Visible,-,,FixME,Subtract previous mask,,,
12,Vermont Acid,Visible,-,,-,-,,,
13,Subsaharan,None,Mask not loaded,,,,,,
14,CO2 ice,Visible,-,,-,-,,,
15,Black carbon,Visible,-,,-,-,,,
16,Glacier,Visible,-,,-,-,,,
17,Aral river,Visible,-,,FixME,Very thin lines,,,
19,Aral milk,None,Mask not loaded,,FixME,Simplify mask and legend?,✓,,Retry editing
20,water withdrawal,Visible,-,,-,-,,,
21,Cotton production,Visible,-,,-,-,,,
23,Marathawada drought,Visible,-,,FixME,"Can't click, No Legend shown",,,
24,Marathawada rainfall,None,Mask not loaded,,FixME,mask too thin? & Optmize,✓,✓,mask&legend edited
25,Droughts,None,Mask not loaded,,Visible,-,,,
28,Hydroelectric,Visible,-,,-,-,,,
29,Thermal,None,Mask not loaded,,Visible,-,,,
30,River interlinking,Visible,-,,-,-,,,
32,Drying cities,None,Mask not loaded,,Visible,-,,,
33,Radon,None,Mask not loaded,,Visible,-,,,
35,Coca cola,None,Mask not loaded,,FixME,mask too thin?,✓,✓,
36,Rhine,Visible,-,,FixME,mask too thin?,✓,✓,
38,Chaohu,None,Mask not loaded,,Visible,-,,,
40,Sukinda water sediment,None,Mask not loaded,,Visible,-,,,
41,Sukinda sediment,None,Mask not loaded,,Visible,-,,,
43,Guiyu sediment,Visible,-,,-,-,,,
44,Guiyu fish,None,Mask not loaded,,FixME,mask too thin?,✓,✓,
45a,-,Visible,-,,FixME,mask too thin?,✓,✓,
45b,-,Visible,-,,-,-,,,
46,-,Visible,-,,,,,,
48,class 1 sewage,Visible,-,,FixME,mask too thin?,✓,✓,
48b,class 1b sewage,None,Mask not loaded,,FixME,mask too thin?,✓,✓,
50,Antibiotic,None,Mask not loaded,,FixME,Simplify mask and legend,✓,✓,mask&legend edited
52,Xenoestrogen,None,Mask not loaded,,Visible,-,,,
53,Bottled water,Visible,-,,-,Should we increase no. of lines?,,,
54,Plastic bottles,None,Mask not loaded,,FixME,Simplify mask and legend,✓,✓,
55,,None,Mask not loaded,,FixME,"Added to dataset but, 
There is offset for both legend and mask",,,
58,Area hypoxia,Visible,-,,-,-,,,
60,Fukushima,Visible,-,,FixME,"Too many points, improve 
performace",✓,✓,mask&legend edited
63,Sound pollution,Visible,-,,FixME,"Offset location of mask
BBox not defined",,,